person1,person2,meeting_times,meeting_information
Felix Balas,Lars Azada,39,"['(""Albert\'s Fine Clothing"", ""2014-01-08 18:58:53"", ""2014-01-08 19:25:01"", ""00:26:08"")', '(""Albert\'s Fine Clothing"", ""2014-01-11 18:14:13"", ""2014-01-11 20:04:01"", ""01:49:48"")', '(""Albert\'s Fine Clothing"", ""2014-01-12 18:37:28"", ""2014-01-12 19:30:01"", ""00:52:33"")', '(""Albert\'s Fine Clothing"", ""2014-01-14 19:20:53"", ""2014-01-14 19:45:01"", ""00:24:08"")', '(""Albert\'s Fine Clothing"", ""2014-01-15 18:51:28"", ""2014-01-15 19:58:01"", ""01:06:33"")', '(""Albert\'s Fine Clothing"", ""2014-01-19 18:23:28"", ""2014-01-19 19:47:01"", ""01:23:33"")', '(""White Building"", ""2014-01-06 17:47:11"", ""2014-01-06 18:55:01"", ""01:07:50"")', '(""White Building"", ""2014-01-06 20:52:01"", ""2014-01-07 07:55:01"", ""11:03:00"")', '(""White Building"", ""2014-01-07 17:55:11"", ""2014-01-07 18:47:01"", ""00:51:50"")', '(""White Building"", ""2014-01-07 20:12:13"", ""2014-01-08 07:03:01"", ""10:50:48"")', '(""White Building"", ""2014-01-08 17:48:11"", ""2014-01-08 18:17:01"", ""00:28:50"")', '(""White Building"", ""2014-01-08 20:56:01"", ""2014-01-09 07:42:01"", ""10:46:00"")', '(""White Building"", ""2014-01-09 17:54:11"", ""2014-01-09 19:45:01"", ""01:50:50"")', '(""White Building"", ""2014-01-09 21:46:25"", ""2014-01-10 06:21:01"", ""08:34:36"")', '(""White Building"", ""2014-01-10 06:21:01"", ""2014-01-10 07:40:01"", ""01:19:00"")', '(""White Building"", ""2014-01-10 17:55:11"", ""2014-01-10 18:42:01"", ""00:46:50"")', '(""White Building"", ""2014-01-10 19:52:13"", ""2014-01-11 00:29:01"", ""04:36:48"")', '(""White Building"", ""2014-01-11 00:29:45"", ""2014-01-11 18:08:01"", ""17:38:16"")', '(""White Building"", ""2014-01-11 20:34:01"", ""2014-01-12 18:28:01"", ""21:54:00"")', '(""White Building"", ""2014-01-12 20:14:28"", ""2014-01-13 07:06:01"", ""10:51:33"")', '(""White Building"", ""2014-01-13 18:07:11"", ""2014-01-13 18:39:01"", ""00:31:50"")', '(""White Building"", ""2014-01-13 20:50:13"", ""2014-01-14 07:39:01"", ""10:48:48"")', '(""White Building"", ""2014-01-14 17:40:11"", ""2014-01-14 18:23:01"", ""00:42:50"")', '(""White Building"", ""2014-01-14 21:00:52"", ""2014-01-14 21:09:01"", ""00:08:09"")', '(""White Building"", ""2014-01-14 21:09:01"", ""2014-01-15 07:21:01"", ""10:12:00"")', '(""White Building"", ""2014-01-15 18:06:11"", ""2014-01-15 18:34:01"", ""00:27:50"")', '(""White Building"", ""2014-01-15 20:20:01"", ""2014-01-16 07:24:01"", ""11:04:00"")', '(""White Building"", ""2014-01-16 17:40:11"", ""2014-01-16 18:37:01"", ""00:56:50"")', '(""White Building"", ""2014-01-16 20:20:28"", ""2014-01-17 07:01:01"", ""10:40:33"")', '(""White Building"", ""2014-01-17 18:08:11"", ""2014-01-17 19:46:01"", ""01:37:50"")', '(""White Building"", ""2014-01-17 22:01:26"", ""2014-01-17 22:41:01"", ""00:39:35"")', '(""White Building"", ""2014-01-17 22:41:01"", ""2014-01-18 18:00:01"", ""19:19:00"")', '(""White Building"", ""2014-01-18 20:21:13"", ""2014-01-19 18:16:01"", ""21:54:48"")', '(""Brew\'ve Been Served"", ""2014-01-06 12:20:42"", ""2014-01-06 13:26:01"", ""01:05:19"")', '(""Bean There Done That"", ""2014-01-06 07:34:22"", ""2014-01-06 07:47:01"", ""00:12:39"")', '(""Bean There Done That"", ""2014-01-10 07:46:22"", ""2014-01-10 08:04:01"", ""00:17:39"")', '(""Bean There Done That"", ""2014-01-14 07:53:22"", ""2014-01-14 08:03:01"", ""00:09:39"")', '(""Bean There Done That"", ""2014-01-16 08:00:22"", ""2014-01-16 08:01:01"", ""00:00:39"")', '(""Bean There Done That"", ""2014-01-17 07:35:22"", ""2014-01-17 07:48:01"", ""00:12:39"")']"
Brand Tempestad,Lars Azada,3,"['(""Albert\'s Fine Clothing"", ""2014-01-11 18:29:08"", ""2014-01-11 19:31:01"", ""01:01:53"")', '(""Roberts and Sons"", ""2014-01-07 12:25:17"", ""2014-01-07 13:24:01"", ""00:58:44"")', '(""White Building"", ""2014-01-10 19:52:13"", ""2014-01-10 23:37:01"", ""03:44:48"")']"
Edvard Vann,Lars Azada,3,"['(""Albert\'s Fine Clothing"", ""2014-01-11 18:15:08"", ""2014-01-11 19:37:01"", ""01:21:53"")', '(""Roberts and Sons"", ""2014-01-07 12:15:26"", ""2014-01-07 13:24:01"", ""01:08:35"")', '(""Brew\'ve Been Served"", ""2014-01-15 12:21:42"", ""2014-01-15 13:28:01"", ""01:06:19"")']"
Lars Azada,Willem Vasco-Pais,7,"['(""Albert\'s Fine Clothing"", ""2014-01-13 19:42:18"", ""2014-01-13 19:51:01"", ""00:08:43"")', '(""Albert\'s Fine Clothing"", ""2014-01-13 19:51:01"", ""2014-01-13 20:36:01"", ""00:45:00"")', '(""Albert\'s Fine Clothing"", ""2014-01-14 19:12:19"", ""2014-01-14 19:45:01"", ""00:32:42"")', '(""Albert\'s Fine Clothing"", ""2014-01-18 18:25:19"", ""2014-01-18 19:41:01"", ""01:15:42"")', '(""Albert\'s Fine Clothing"", ""2014-01-19 18:46:19"", ""2014-01-19 20:04:01"", ""01:17:42"")', '(""Roberts and Sons"", ""2014-01-08 12:26:17"", ""2014-01-08 13:24:01"", ""00:57:44"")', '(""Brew\'ve Been Served"", ""2014-01-06 12:25:42"", ""2014-01-06 13:26:01"", ""01:00:19"")']"
Lars Azada,Varja Lagos,1,"['(""Albert\'s Fine Clothing"", ""2014-01-14 18:49:02"", ""2014-01-14 19:45:01"", ""00:55:59"")']"
Isak Baza,Lars Azada,3,"['(""Albert\'s Fine Clothing"", ""2014-01-16 12:24:27"", ""2014-01-16 13:28:01"", ""01:03:34"")', '(""Roberts and Sons"", ""2014-01-07 12:16:17"", ""2014-01-07 13:24:01"", ""01:07:44"")', '(""White Building"", ""2014-01-10 19:52:13"", ""2014-01-10 23:21:01"", ""03:28:48"")']"
Lars Azada,Linnea Bergen,2,"['(""Albert\'s Fine Clothing"", ""2014-01-16 12:08:27"", ""2014-01-16 13:39:01"", ""01:30:34"")', '(""White Building"", ""2014-01-10 19:52:13"", ""2014-01-10 22:20:01"", ""02:27:48"")']"
Isia Vann,Lars Azada,4,"['(""Albert\'s Fine Clothing"", ""2014-01-16 12:24:27"", ""2014-01-16 13:46:01"", ""01:21:34"")', '(""Roberts and Sons"", ""2014-01-08 12:09:17"", ""2014-01-08 13:43:01"", ""01:33:44"")', '(""Brew\'ve Been Served"", ""2014-01-09 12:21:42"", ""2014-01-09 13:27:01"", ""01:05:19"")', '(""Brew\'ve Been Served"", ""2014-01-15 12:21:42"", ""2014-01-15 13:28:01"", ""01:06:19"")']"
Birgitta Frente,Lars Azada,6,"['(""Albert\'s Fine Clothing"", ""2014-01-16 12:41:27"", ""2014-01-16 13:46:01"", ""01:04:34"")', '(""Roberts and Sons"", ""2014-01-08 12:32:17"", ""2014-01-08 13:43:01"", ""01:10:44"")', '(""White Building"", ""2014-01-10 19:52:13"", ""2014-01-10 22:29:01"", ""02:36:48"")', '(""Brew\'ve Been Served"", ""2014-01-09 12:23:42"", ""2014-01-09 13:44:01"", ""01:20:19"")', '(""Brew\'ve Been Served"", ""2014-01-14 12:10:42"", ""2014-01-14 13:39:01"", ""01:28:19"")', '(""Brew\'ve Been Served"", ""2014-01-15 12:27:42"", ""2014-01-15 13:28:01"", ""01:00:19"")']"
Lars Azada,Marin Onda,3,"['(""Albert\'s Fine Clothing"", ""2014-01-16 12:08:27"", ""2014-01-16 13:46:01"", ""01:37:34"")', '(""White Building"", ""2014-01-10 20:10:02"", ""2014-01-11 00:22:01"", ""04:11:59"")', '(""Brew\'ve Been Served"", ""2014-01-06 12:20:42"", ""2014-01-06 13:26:01"", ""01:05:19"")']"
Adra Nubarron,Lars Azada,2,"['(""Albert\'s Fine Clothing"", ""2014-01-18 18:46:08"", ""2014-01-18 20:07:01"", ""01:20:53"")', '(""Roberts and Sons"", ""2014-01-07 12:27:26"", ""2014-01-07 13:24:01"", ""00:56:35"")']"
Felix Balas,Linnea Bergen,4,"['(""Albert\'s Fine Clothing"", ""2014-01-08 12:22:27"", ""2014-01-08 13:28:01"", ""01:05:34"")', '(""White Building"", ""2014-01-10 18:51:01"", ""2014-01-10 19:03:01"", ""00:12:00"")', '(""White Building"", ""2014-01-10 19:03:45"", ""2014-01-10 22:20:01"", ""03:16:16"")', '(""Brew\'ve Been Served"", ""2014-01-10 12:26:42"", ""2014-01-10 13:28:01"", ""01:01:19"")']"
Ada Campo-Corrente,Felix Balas,10,"['(""Albert\'s Fine Clothing"", ""2014-01-08 12:22:27"", ""2014-01-08 13:16:01"", ""00:53:34"")', '(""Albert\'s Fine Clothing"", ""2014-01-08 19:45:01"", ""2014-01-08 20:53:01"", ""01:08:00"")', '(""Albert\'s Fine Clothing"", ""2014-01-09 19:47:28"", ""2014-01-09 21:29:01"", ""01:41:33"")', '(""Albert\'s Fine Clothing"", ""2014-01-11 18:21:45"", ""2014-01-11 19:53:01"", ""01:31:16"")', '(""Albert\'s Fine Clothing"", ""2014-01-12 18:37:28"", ""2014-01-12 19:53:01"", ""01:15:33"")', '(""Albert\'s Fine Clothing"", ""2014-01-14 19:33:45"", ""2014-01-14 20:53:01"", ""01:19:16"")', '(""Albert\'s Fine Clothing"", ""2014-01-16 19:33:45"", ""2014-01-16 20:18:01"", ""00:44:16"")', '(""Albert\'s Fine Clothing"", ""2014-01-17 19:48:28"", ""2014-01-17 20:34:01"", ""00:45:33"")', '(""Albert\'s Fine Clothing"", ""2014-01-19 18:23:28"", ""2014-01-19 19:46:01"", ""01:22:33"")', '(""Roberts and Sons"", ""2014-01-14 12:11:26"", ""2014-01-14 13:28:01"", ""01:16:35"")']"
Axel Calzas,Felix Balas,49,"['(""Albert\'s Fine Clothing"", ""2014-01-08 12:35:27"", ""2014-01-08 13:33:01"", ""00:57:34"")', '(""Albert\'s Fine Clothing"", ""2014-01-08 18:58:53"", ""2014-01-08 20:16:01"", ""01:17:08"")', '(""Albert\'s Fine Clothing"", ""2014-01-09 12:25:27"", ""2014-01-09 13:40:01"", ""01:14:34"")', '(""Albert\'s Fine Clothing"", ""2014-01-12 18:37:28"", ""2014-01-12 19:23:01"", ""00:45:33"")', '(""Albert\'s Fine Clothing"", ""2014-01-15 18:51:28"", ""2014-01-15 20:17:01"", ""01:25:33"")', '(""Albert\'s Fine Clothing"", ""2014-01-16 18:39:28"", ""2014-01-16 20:18:01"", ""01:38:33"")', '(""Albert\'s Fine Clothing"", ""2014-01-19 18:23:28"", ""2014-01-19 19:46:01"", ""01:22:33"")', '(""Roberts and Sons"", ""2014-01-13 12:26:17"", ""2014-01-13 13:35:01"", ""01:08:44"")', '(""Roberts and Sons"", ""2014-01-14 12:23:26"", ""2014-01-14 13:31:01"", ""01:07:35"")', '(""White Building"", ""2014-01-06 17:47:11"", ""2014-01-06 18:31:01"", ""00:43:50"")', '(""White Building"", ""2014-01-06 20:30:44"", ""2014-01-07 07:36:01"", ""11:05:17"")', '(""White Building"", ""2014-01-07 17:55:11"", ""2014-01-07 19:13:01"", ""01:17:50"")', '(""White Building"", ""2014-01-07 20:36:42"", ""2014-01-07 20:41:34"", ""00:04:52"")', '(""White Building"", ""2014-01-07 20:41:34"", ""2014-01-08 07:03:01"", ""10:21:27"")', '(""White Building"", ""2014-01-08 17:48:11"", ""2014-01-08 18:22:01"", ""00:33:50"")', '(""White Building"", ""2014-01-08 20:56:01"", ""2014-01-09 07:22:01"", ""10:26:00"")', '(""White Building"", ""2014-01-09 17:54:11"", ""2014-01-09 19:06:01"", ""01:11:50"")', '(""White Building"", ""2014-01-09 21:46:25"", ""2014-01-10 06:21:01"", ""08:34:36"")', '(""White Building"", ""2014-01-10 06:21:01"", ""2014-01-10 07:06:01"", ""00:45:00"")', '(""White Building"", ""2014-01-10 17:55:11"", ""2014-01-10 18:45:01"", ""00:49:50"")', '(""White Building"", ""2014-01-10 18:45:31"", ""2014-01-10 19:03:01"", ""00:17:30"")', '(""White Building"", ""2014-01-10 19:03:45"", ""2014-01-10 23:23:01"", ""04:19:16"")', '(""White Building"", ""2014-01-10 23:23:31"", ""2014-01-11 00:29:01"", ""01:05:30"")', '(""White Building"", ""2014-01-11 00:29:45"", ""2014-01-11 12:47:01"", ""12:17:16"")', '(""White Building"", ""2014-01-11 14:04:37"", ""2014-01-11 18:08:01"", ""04:03:24"")', '(""White Building"", ""2014-01-11 20:07:01"", ""2014-01-12 18:33:01"", ""22:26:00"")', '(""White Building"", ""2014-01-12 20:14:28"", ""2014-01-13 07:06:01"", ""10:51:33"")', '(""White Building"", ""2014-01-13 18:07:11"", ""2014-01-13 18:39:01"", ""00:31:50"")', '(""White Building"", ""2014-01-13 20:52:01"", ""2014-01-14 07:18:01"", ""10:26:00"")', '(""White Building"", ""2014-01-14 17:40:11"", ""2014-01-14 19:18:01"", ""01:37:50"")', '(""White Building"", ""2014-01-14 21:00:52"", ""2014-01-14 21:09:01"", ""00:08:09"")', '(""White Building"", ""2014-01-14 21:09:01"", ""2014-01-15 07:21:01"", ""10:12:00"")', '(""White Building"", ""2014-01-15 18:06:11"", ""2014-01-15 18:09:01"", ""00:02:50"")', '(""White Building"", ""2014-01-15 20:33:44"", ""2014-01-16 07:24:01"", ""10:50:17"")', '(""White Building"", ""2014-01-16 17:40:11"", ""2014-01-16 18:31:01"", ""00:50:50"")', '(""White Building"", ""2014-01-16 20:24:44"", ""2014-01-17 07:01:01"", ""10:36:17"")', '(""White Building"", ""2014-01-17 18:08:11"", ""2014-01-17 18:23:01"", ""00:14:50"")', '(""White Building"", ""2014-01-17 22:01:26"", ""2014-01-17 22:41:01"", ""00:39:35"")', '(""White Building"", ""2014-01-17 22:41:01"", ""2014-01-18 12:44:01"", ""14:03:00"")', '(""White Building"", ""2014-01-18 14:05:37"", ""2014-01-18 18:00:01"", ""03:54:24"")', '(""White Building"", ""2014-01-18 19:49:01"", ""2014-01-19 18:20:01"", ""22:31:00"")', '(""Brew\'ve Been Served"", ""2014-01-10 12:26:42"", ""2014-01-10 13:52:01"", ""01:25:19"")', '(""Bean There Done That"", ""2014-01-06 07:22:48"", ""2014-01-06 07:47:01"", ""00:24:13"")', '(""Bean There Done That"", ""2014-01-08 07:38:32"", ""2014-01-08 07:45:01"", ""00:06:29"")', '(""Bean There Done That"", ""2014-01-10 07:43:48"", ""2014-01-10 07:51:01"", ""00:07:13"")', '(""Bean There Done That"", ""2014-01-14 07:42:48"", ""2014-01-14 07:49:01"", ""00:06:13"")', '(""Bean There Done That"", ""2014-01-15 07:54:32"", ""2014-01-15 08:05:01"", ""00:10:29"")', '(""Bean There Done That"", ""2014-01-16 07:43:32"", ""2014-01-16 08:01:01"", ""00:17:29"")', '(""Bean There Done That"", ""2014-01-17 07:43:32"", ""2014-01-17 07:48:01"", ""00:04:29"")']"
Edvard Vann,Felix Balas,4,"['(""Albert\'s Fine Clothing"", ""2014-01-08 12:22:27"", ""2014-01-08 13:17:01"", ""00:54:34"")', '(""Albert\'s Fine Clothing"", ""2014-01-11 18:15:08"", ""2014-01-11 19:37:01"", ""01:21:53"")', '(""Roberts and Sons"", ""2014-01-16 12:21:26"", ""2014-01-16 13:40:01"", ""01:18:35"")', '(""Roberts and Sons"", ""2014-01-18 18:43:09"", ""2014-01-18 19:37:01"", ""00:53:52"")']"
Felix Balas,Ingrid Barranco,9,"['(""Albert\'s Fine Clothing"", ""2014-01-08 19:18:01"", ""2014-01-08 20:53:01"", ""01:35:00"")', '(""Albert\'s Fine Clothing"", ""2014-01-11 18:28:13"", ""2014-01-11 19:27:01"", ""00:58:48"")', '(""Albert\'s Fine Clothing"", ""2014-01-12 18:43:13"", ""2014-01-12 20:12:01"", ""01:28:48"")', '(""Albert\'s Fine Clothing"", ""2014-01-15 19:20:13"", ""2014-01-15 20:17:01"", ""00:56:48"")', '(""Albert\'s Fine Clothing"", ""2014-01-16 19:43:13"", ""2014-01-16 20:18:01"", ""00:34:48"")', '(""Albert\'s Fine Clothing"", ""2014-01-17 19:48:28"", ""2014-01-17 20:55:01"", ""01:06:33"")', '(""Roberts and Sons"", ""2014-01-13 12:28:17"", ""2014-01-13 13:38:01"", ""01:09:44"")', '(""Roberts and Sons"", ""2014-01-15 12:19:17"", ""2014-01-15 13:31:01"", ""01:11:44"")', '(""Roberts and Sons"", ""2014-01-18 18:43:09"", ""2014-01-18 19:44:01"", ""01:00:52"")']"
Elsa Orilla,Felix Balas,39,"['(""Albert\'s Fine Clothing"", ""2014-01-08 18:58:53"", ""2014-01-08 19:33:01"", ""00:34:08"")', '(""Albert\'s Fine Clothing"", ""2014-01-09 19:47:28"", ""2014-01-09 20:10:01"", ""00:22:33"")', '(""Albert\'s Fine Clothing"", ""2014-01-12 18:37:28"", ""2014-01-12 20:12:01"", ""01:34:33"")', '(""Albert\'s Fine Clothing"", ""2014-01-14 19:43:01"", ""2014-01-14 20:58:01"", ""01:15:00"")', '(""Albert\'s Fine Clothing"", ""2014-01-17 19:48:28"", ""2014-01-17 20:06:01"", ""00:17:33"")', '(""Albert\'s Fine Clothing"", ""2014-01-19 18:29:09"", ""2014-01-19 19:47:01"", ""01:17:52"")', '(""White Building"", ""2014-01-06 17:47:11"", ""2014-01-07 07:19:01"", ""13:31:50"")', '(""White Building"", ""2014-01-07 17:55:11"", ""2014-01-07 19:22:01"", ""01:26:50"")', '(""White Building"", ""2014-01-07 21:09:42"", ""2014-01-08 07:03:01"", ""09:53:19"")', '(""White Building"", ""2014-01-08 17:48:11"", ""2014-01-08 18:25:01"", ""00:36:50"")', '(""White Building"", ""2014-01-08 20:56:01"", ""2014-01-09 07:42:01"", ""10:46:00"")', '(""White Building"", ""2014-01-09 17:56:41"", ""2014-01-09 18:48:01"", ""00:51:20"")', '(""White Building"", ""2014-01-09 21:46:25"", ""2014-01-10 06:21:01"", ""08:34:36"")', '(""White Building"", ""2014-01-10 06:21:01"", ""2014-01-10 07:15:01"", ""00:54:00"")', '(""White Building"", ""2014-01-10 17:55:11"", ""2014-01-10 19:03:01"", ""01:07:50"")', '(""White Building"", ""2014-01-10 19:03:45"", ""2014-01-10 19:12:01"", ""00:08:16"")', '(""White Building"", ""2014-01-10 19:12:54"", ""2014-01-10 22:43:01"", ""03:30:07"")', '(""White Building"", ""2014-01-10 22:43:53"", ""2014-01-10 23:00:01"", ""00:16:08"")', '(""White Building"", ""2014-01-10 23:00:01"", ""2014-01-11 00:29:01"", ""01:29:00"")', '(""White Building"", ""2014-01-11 00:29:45"", ""2014-01-11 12:31:01"", ""12:01:16"")', '(""White Building"", ""2014-01-11 13:44:40"", ""2014-01-11 18:08:01"", ""04:23:21"")', '(""White Building"", ""2014-01-11 20:07:01"", ""2014-01-12 12:31:01"", ""16:24:00"")', '(""White Building"", ""2014-01-12 14:02:36"", ""2014-01-12 17:57:01"", ""03:54:25"")', '(""White Building"", ""2014-01-12 20:21:40"", ""2014-01-12 20:46:01"", ""00:24:21"")', '(""White Building"", ""2014-01-12 20:46:01"", ""2014-01-13 07:06:01"", ""10:20:00"")', '(""White Building"", ""2014-01-13 18:07:11"", ""2014-01-14 07:21:01"", ""13:13:50"")', '(""White Building"", ""2014-01-14 17:41:41"", ""2014-01-14 19:18:01"", ""01:36:20"")', '(""White Building"", ""2014-01-14 21:44:41"", ""2014-01-15 06:24:01"", ""08:39:20"")', '(""White Building"", ""2014-01-15 06:24:01"", ""2014-01-15 07:10:01"", ""00:46:00"")', '(""White Building"", ""2014-01-15 18:06:11"", ""2014-01-15 18:49:01"", ""00:42:50"")', '(""White Building"", ""2014-01-15 20:20:01"", ""2014-01-16 07:23:01"", ""11:03:00"")', '(""White Building"", ""2014-01-16 17:54:41"", ""2014-01-16 18:37:01"", ""00:42:20"")', '(""White Building"", ""2014-01-16 20:20:28"", ""2014-01-17 07:01:01"", ""10:40:33"")', '(""White Building"", ""2014-01-17 18:08:11"", ""2014-01-17 19:25:01"", ""01:16:50"")', '(""White Building"", ""2014-01-17 22:01:26"", ""2014-01-17 22:41:01"", ""00:39:35"")', '(""White Building"", ""2014-01-17 22:41:01"", ""2014-01-18 12:38:01"", ""13:57:00"")', '(""White Building"", ""2014-01-18 15:32:38"", ""2014-01-18 18:00:01"", ""02:27:23"")', '(""White Building"", ""2014-01-18 19:49:01"", ""2014-01-19 18:21:01"", ""22:32:00"")', '(""Brew\'ve Been Served"", ""2014-01-07 12:14:42"", ""2014-01-07 13:18:01"", ""01:03:19"")']"
Felix Balas,Vira Frente,20,"['(""Albert\'s Fine Clothing"", ""2014-01-08 19:24:53"", ""2014-01-08 20:03:01"", ""00:38:08"")', '(""Albert\'s Fine Clothing"", ""2014-01-09 19:47:28"", ""2014-01-09 21:07:01"", ""01:19:33"")', '(""Albert\'s Fine Clothing"", ""2014-01-12 18:37:28"", ""2014-01-12 19:36:01"", ""00:58:33"")', '(""Albert\'s Fine Clothing"", ""2014-01-14 19:35:01"", ""2014-01-14 20:58:01"", ""01:23:00"")', '(""Albert\'s Fine Clothing"", ""2014-01-15 19:53:01"", ""2014-01-15 20:17:01"", ""00:24:00"")', '(""Albert\'s Fine Clothing"", ""2014-01-16 19:20:53"", ""2014-01-16 20:18:01"", ""00:57:08"")', '(""Albert\'s Fine Clothing"", ""2014-01-19 18:36:53"", ""2014-01-19 19:46:01"", ""01:09:08"")', '(""Roberts and Sons"", ""2014-01-13 12:17:17"", ""2014-01-13 13:34:01"", ""01:16:44"")', '(""Roberts and Sons"", ""2014-01-15 12:19:26"", ""2014-01-15 13:46:01"", ""01:26:35"")', '(""Roberts and Sons"", ""2014-01-16 12:21:26"", ""2014-01-16 13:29:01"", ""01:07:35"")', '(""White Building"", ""2014-01-10 19:08:14"", ""2014-01-10 19:39:01"", ""00:30:47"")', '(""White Building"", ""2014-01-10 20:18:01"", ""2014-01-10 23:57:01"", ""03:39:00"")', '(""Bean There Done That"", ""2014-01-06 07:22:48"", ""2014-01-06 07:40:01"", ""00:17:13"")', '(""Bean There Done That"", ""2014-01-08 07:13:49"", ""2014-01-08 07:45:01"", ""00:31:12"")', '(""Bean There Done That"", ""2014-01-10 07:43:48"", ""2014-01-10 07:51:01"", ""00:07:13"")', '(""Bean There Done That"", ""2014-01-13 07:15:49"", ""2014-01-13 07:39:01"", ""00:23:12"")', '(""Bean There Done That"", ""2014-01-14 07:42:48"", ""2014-01-14 07:46:01"", ""00:03:13"")', '(""Bean There Done That"", ""2014-01-15 07:24:48"", ""2014-01-15 07:55:01"", ""00:30:13"")', '(""Bean There Done That"", ""2014-01-16 07:27:48"", ""2014-01-16 07:48:01"", ""00:20:13"")', '(""Bean There Done That"", ""2014-01-17 07:42:49"", ""2014-01-17 07:48:01"", ""00:05:12"")']"
Felix Balas,Willem Vasco-Pais,7,"['(""Albert\'s Fine Clothing"", ""2014-01-08 19:48:19"", ""2014-01-08 20:53:01"", ""01:04:42"")', '(""Albert\'s Fine Clothing"", ""2014-01-09 19:47:28"", ""2014-01-09 20:42:01"", ""00:54:33"")', '(""Albert\'s Fine Clothing"", ""2014-01-14 19:20:53"", ""2014-01-14 20:26:01"", ""01:05:08"")', '(""Albert\'s Fine Clothing"", ""2014-01-16 19:13:19"", ""2014-01-16 20:18:01"", ""01:04:42"")', '(""Albert\'s Fine Clothing"", ""2014-01-17 19:48:28"", ""2014-01-17 21:37:01"", ""01:48:33"")', '(""Albert\'s Fine Clothing"", ""2014-01-19 18:46:19"", ""2014-01-19 19:47:01"", ""01:00:42"")', '(""Brew\'ve Been Served"", ""2014-01-06 12:25:42"", ""2014-01-06 13:49:01"", ""01:23:19"")']"
Felix Balas,Minke Mies,2,"['(""Albert\'s Fine Clothing"", ""2014-01-09 12:42:01"", ""2014-01-09 13:47:01"", ""01:05:00"")', '(""Roberts and Sons"", ""2014-01-14 12:25:52"", ""2014-01-14 13:31:01"", ""01:05:09"")']"
Felix Balas,Kanon Herrero,2,"['(""Albert\'s Fine Clothing"", ""2014-01-09 12:25:27"", ""2014-01-09 13:47:01"", ""01:21:34"")', '(""White Building"", ""2014-01-10 19:04:01"", ""2014-01-10 23:33:01"", ""04:29:00"")']"
Felix Balas,Marin Onda,5,"['(""Albert\'s Fine Clothing"", ""2014-01-09 12:25:27"", ""2014-01-09 13:47:01"", ""01:21:34"")', '(""General Grocer"", ""2014-01-17 12:21:16"", ""2014-01-17 13:37:01"", ""01:15:45"")', '(""Roberts and Sons"", ""2014-01-14 12:28:17"", ""2014-01-14 13:31:01"", ""01:02:44"")', '(""White Building"", ""2014-01-10 20:10:02"", ""2014-01-11 00:22:01"", ""04:11:59"")', '(""Brew\'ve Been Served"", ""2014-01-06 12:12:42"", ""2014-01-06 13:40:01"", ""01:27:19"")']"
Brand Tempestad,Felix Balas,4,"['(""Albert\'s Fine Clothing"", ""2014-01-09 12:25:27"", ""2014-01-09 13:40:01"", ""01:14:34"")', '(""Albert\'s Fine Clothing"", ""2014-01-11 18:29:08"", ""2014-01-11 19:31:01"", ""01:01:53"")', '(""Roberts and Sons"", ""2014-01-13 12:17:17"", ""2014-01-13 13:29:01"", ""01:11:44"")', '(""White Building"", ""2014-01-10 19:30:02"", ""2014-01-10 23:37:01"", ""04:06:59"")']"
