Person 1,Person 2,Meeting Times,Meeting Information
Ada Campo-Corrente,Lars Azada,1,"[(""Albert's Fine Clothing"", '2014-01-16 12:04:01', '2014-01-16 12:08:27')]"
Ada Campo-Corrente,Lidelse Dedos,1,"[('General Grocer', '2014-01-07 12:12:01', '2014-01-07 12:16:16')]"
Ada Campo-Corrente,Linnea Bergen,1,"[('Roberts and Sons', '2014-01-18 12:23:01', '2014-01-18 12:27:33')]"
Ada Campo-Corrente,Lucas Alcazar,1,"[('Roberts and Sons', '2014-01-17 12:12:01', '2014-01-17 12:13:26')]"
Ada Campo-Corrente,Marin Onda,1,"[(""Albert's Fine Clothing"", '2014-01-16 12:04:01', '2014-01-16 12:07:27')]"
Ada Campo-Corrente,Nils Calixto,2,"[('General Grocer', '2014-01-07 12:10:01', '2014-01-07 12:15:16'), ('Roberts and Sons', '2014-01-14 12:07:01', '2014-01-14 12:11:26')]"
Ada Campo-Corrente,Orhan Strum,3,"[(""Albert's Fine Clothing"", '2014-01-09 19:43:01', '2014-01-09 19:44:02'), (""Albert's Fine Clothing"", '2014-01-13 19:32:01', '2014-01-13 19:32:45'), ('Desafio Golf Course', '2014-01-19 12:35:01', '2014-01-19 12:36:04')]"
Ada Campo-Corrente,Sten Sanjorge Jr.,1,"[('Roberts and Sons', '2014-01-17 12:15:01', '2014-01-17 12:20:17')]"
Ada Campo-Corrente,Stenig Fusil,1,"[(""Albert's Fine Clothing"", '2014-01-15 12:05:01', '2014-01-15 12:06:27')]"
Ada Campo-Corrente,Vira Frente,1,"[(""Albert's Fine Clothing"", '2014-01-14 19:32:01', '2014-01-14 19:33:45')]"
Ada Campo-Corrente,Willem Vasco-Pais,2,"[(""Albert's Fine Clothing"", '2014-01-10 12:17:01', '2014-01-10 12:23:27'), ('Desafio Golf Course', '2014-01-19 12:37:01', '2014-01-19 12:39:39')]"
Adra Nubarron,Axel Calzas,1,"[('Roberts and Sons', '2014-01-06 12:13:01', '2014-01-06 12:20:26')]"
Adra Nubarron,Birgitta Frente,3,"[(""Guy's Gyros"", '2014-01-07 17:38:01', '2014-01-07 17:41:16'), (""Guy's Gyros"", '2014-01-17 17:48:01', '2014-01-17 17:50:39'), (""Guy's Gyros"", '2014-01-17 20:25:01', '2014-01-17 20:30:03')]"
Adra Nubarron,Brand Tempestad,5,"[('Roberts and Sons', '2014-01-07 12:19:01', '2014-01-07 12:25:17'), ('Roberts and Sons', '2014-01-13 12:02:01', '2014-01-13 12:02:17'), (""Guy's Gyros"", '2014-01-09 17:39:01', '2014-01-09 17:40:16'), (""Guy's Gyros"", '2014-01-13 20:45:01', '2014-01-13 20:45:58'), (""Guy's Gyros"", '2014-01-16 17:33:01', '2014-01-16 17:35:16')]"
Adra Nubarron,Edvard Vann,3,"[(""Katerina's Café"", '2014-01-10 07:23:01', '2014-01-10 07:25:23'), (""Katerina's Café"", '2014-01-15 07:30:01', '2014-01-15 07:30:23'), ('Roberts and Sons', '2014-01-16 12:05:01', '2014-01-16 12:12:17')]"
Adra Nubarron,Felix Balas,1,"[('Roberts and Sons', '2014-01-16 12:13:01', '2014-01-16 12:13:17')]"
Adra Nubarron,Felix Resumir,2,"[(""Guy's Gyros"", '2014-01-09 17:36:01', '2014-01-09 17:38:16'), (""Guy's Gyros"", '2014-01-18 20:14:01', '2014-01-18 20:18:03')]"
Adra Nubarron,Gustav Cazar,1,"[('Roberts and Sons', '2014-01-07 12:19:01', '2014-01-07 12:26:26')]"
Adra Nubarron,Hennie Osvaldo,4,"[(""Katerina's Café"", '2014-01-10 07:24:01', '2014-01-10 07:25:23'), (""Guy's Gyros"", '2014-01-11 20:19:01', '2014-01-11 20:19:08'), (""Guy's Gyros"", '2014-01-18 20:08:01', '2014-01-18 20:11:05'), (""Guy's Gyros"", '2014-01-19 19:46:01', '2014-01-19 19:46:54')]"
Adra Nubarron,Hideki Cocinaro,1,"[('Roberts and Sons', '2014-01-11 18:25:01', '2014-01-11 18:34:08')]"
Adra Nubarron,Inga Ferro,2,"[('Roberts and Sons', '2014-01-07 12:19:01', '2014-01-07 12:27:26'), ('Roberts and Sons', '2014-01-11 18:28:01', '2014-01-11 18:34:08')]"
Adra Nubarron,Isande Borrasca,2,"[(""Guy's Gyros"", '2014-01-12 19:51:01', '2014-01-12 20:01:01'), (""Guy's Gyros"", '2014-01-18 20:07:01', '2014-01-18 20:18:03')]"
Adra Nubarron,Kanon Herrero,1,"[(""Guy's Gyros"", '2014-01-08 17:39:01', '2014-01-08 17:39:16')]"
Adra Nubarron,Lidelse Dedos,4,"[(""Guy's Gyros"", '2014-01-07 17:40:01', '2014-01-07 17:41:16'), (""Guy's Gyros"", '2014-01-09 17:36:01', '2014-01-09 17:39:39'), (""Guy's Gyros"", '2014-01-13 17:53:01', '2014-01-13 17:53:39'), (""Guy's Gyros"", '2014-01-15 17:53:01', '2014-01-15 17:53:39')]"
Adra Nubarron,Linnea Bergen,6,"[(""Guy's Gyros"", '2014-01-10 17:43:01', '2014-01-10 17:45:42'), (""Guy's Gyros"", '2014-01-13 17:53:01', '2014-01-13 17:54:42'), (""Guy's Gyros"", '2014-01-14 17:54:01', '2014-01-14 17:57:16'), (""Guy's Gyros"", '2014-01-16 17:34:01', '2014-01-16 17:35:16'), (""Guy's Gyros"", '2014-01-16 21:00:01', '2014-01-16 21:02:02'), (""Guy's Gyros"", '2014-01-17 20:23:01', '2014-01-17 20:25:02')]"
Adra Nubarron,Loreto Bodrogi,2,"[(""Katerina's Café"", '2014-01-10 07:23:01', '2014-01-10 07:25:23'), (""Katerina's Café"", '2014-01-13 07:31:01', '2014-01-13 07:32:23')]"
Adra Nubarron,Lucas Alcazar,1,"[('General Grocer', '2014-01-08 12:13:01', '2014-01-08 12:17:16')]"
Adra Nubarron,Marin Onda,1,"[('Roberts and Sons', '2014-01-10 12:02:01', '2014-01-10 12:04:17')]"
Adra Nubarron,Minke Mies,2,"[(""Katerina's Café"", '2014-01-13 07:32:01', '2014-01-13 07:32:23'), (""Guy's Gyros"", '2014-01-09 17:40:01', '2014-01-09 17:40:16')]"
Adra Nubarron,Sven Flecha,5,"[('Roberts and Sons', '2014-01-16 12:12:01', '2014-01-16 12:13:17'), (""Guy's Gyros"", '2014-01-07 17:37:01', '2014-01-07 17:39:38'), (""Guy's Gyros"", '2014-01-08 17:35:01', '2014-01-08 17:37:38'), (""Guy's Gyros"", '2014-01-11 20:14:01', '2014-01-11 20:16:23'), ('Ahaggo Museum', '2014-01-18 13:28:01', '2014-01-18 13:31:38')]"
Adra Nubarron,Varja Lagos,4,"[(""Katerina's Café"", '2014-01-10 07:23:01', '2014-01-10 07:23:23'), ('Roberts and Sons', '2014-01-06 12:20:01', '2014-01-06 12:21:17'), (""Guy's Gyros"", '2014-01-08 20:19:01', '2014-01-08 20:19:58'), (""Guy's Gyros"", '2014-01-19 19:46:01', '2014-01-19 19:46:53')]"
Adra Nubarron,Vira Frente,1,"[('Roberts and Sons', '2014-01-13 11:56:01', '2014-01-13 12:02:17')]"
Axel Calzas,Ada Campo-Corrente,2,"[(""Albert's Fine Clothing"", '2014-01-16 12:04:01', '2014-01-16 12:07:27'), (""Albert's Fine Clothing"", '2014-01-19 18:20:01', '2014-01-19 18:21:44')]"
Axel Calzas,Adra Nubarron,1,"[('Roberts and Sons', '2014-01-06 12:13:01', '2014-01-06 12:20:26')]"
Axel Calzas,Brand Tempestad,1,"[(""Albert's Fine Clothing"", '2014-01-09 12:14:01', '2014-01-09 12:19:27')]"
Axel Calzas,Elsa Orilla,3,"[('Roberts and Sons', '2014-01-18 12:44:01', '2014-01-18 12:44:40'), ('White Building', '2014-01-10 17:32:01', '2014-01-10 17:37:41'), ('White Building', '2014-01-17 17:32:01', '2014-01-17 17:32:27')]"
Axel Calzas,Felix Balas,4,"[(""Albert's Fine Clothing"", '2014-01-09 12:16:01', '2014-01-09 12:19:27'), (""Albert's Fine Clothing"", '2014-01-19 18:21:01', '2014-01-19 18:21:44'), ('White Building', '2014-01-16 17:29:01', '2014-01-16 17:29:27'), ('White Building', '2014-01-19 19:47:01', '2014-01-19 19:47:42')]"
Axel Calzas,Felix Resumir,1,"[(""Brew've Been Served"", '2014-01-09 19:15:01', '2014-01-09 19:16:10')]"
Axel Calzas,Gustav Cazar,10,"[(""Albert's Fine Clothing"", '2014-01-12 18:33:01', '2014-01-12 18:34:15'), (""Albert's Fine Clothing"", '2014-01-19 18:20:01', '2014-01-19 18:21:44'), ('White Building', '2014-01-06 17:18:01', '2014-01-06 17:25:27'), ('White Building', '2014-01-08 17:11:01', '2014-01-08 17:19:57'), ('White Building', '2014-01-09 17:26:01', '2014-01-09 17:33:57'), ('White Building', '2014-01-13 17:31:01', '2014-01-13 17:36:57'), ('White Building', '2014-01-14 17:20:01', '2014-01-14 17:25:27'), ('White Building', '2014-01-15 20:32:01', '2014-01-15 20:33:13'), ('White Building', '2014-01-16 17:19:01', '2014-01-16 17:29:27'), ('White Building', '2014-01-17 17:22:01', '2014-01-17 17:22:57')]"
Axel Calzas,Hennie Osvaldo,1,"[('Roberts and Sons', '2014-01-14 12:15:01', '2014-01-14 12:20:17')]"
Axel Calzas,Ingrid Barranco,1,"[('Roberts and Sons', '2014-01-13 12:20:01', '2014-01-13 12:26:17')]"
Axel Calzas,Kanon Herrero,1,"[(""Albert's Fine Clothing"", '2014-01-09 12:13:01', '2014-01-09 12:19:27')]"
Axel Calzas,Lars Azada,12,"[(""Albert's Fine Clothing"", '2014-01-13 18:39:01', '2014-01-13 18:41:09'), (""Albert's Fine Clothing"", '2014-01-16 11:59:01', '2014-01-16 12:07:27'), ('Bean There Done That', '2014-01-13 07:42:01', '2014-01-13 07:43:22'), ('White Building', '2014-01-06 17:17:01', '2014-01-06 17:25:27'), ('White Building', '2014-01-07 17:31:01', '2014-01-07 17:35:27'), ('White Building', '2014-01-08 17:11:01', '2014-01-08 17:17:28'), ('White Building', '2014-01-09 17:26:01', '2014-01-09 17:29:28'), ('White Building', '2014-01-13 20:49:01', '2014-01-13 20:50:13'), ('White Building', '2014-01-14 17:21:01', '2014-01-14 17:25:27'), ('White Building', '2014-01-15 17:17:01', '2014-01-15 17:17:27'), ('White Building', '2014-01-16 17:20:01', '2014-01-16 17:29:27'), ('White Building', '2014-01-17 17:22:01', '2014-01-17 17:22:28')]"
Axel Calzas,Linnea Bergen,3,"[(""Albert's Fine Clothing"", '2014-01-16 11:58:01', '2014-01-16 12:02:27'), (""Brew've Been Served"", '2014-01-09 19:06:01', '2014-01-09 19:06:53'), ('White Building', '2014-01-10 18:45:01', '2014-01-10 18:45:31')]"
Axel Calzas,Loreto Bodrogi,1,"[('Roberts and Sons', '2014-01-13 12:18:01', '2014-01-13 12:21:29')]"
Axel Calzas,Marin Onda,3,"[(""Albert's Fine Clothing"", '2014-01-09 12:10:01', '2014-01-09 12:10:27'), (""Albert's Fine Clothing"", '2014-01-16 11:58:01', '2014-01-16 12:07:27'), ('Roberts and Sons', '2014-01-14 12:20:01', '2014-01-14 12:23:26')]"
Axel Calzas,Minke Mies,2,"[('Roberts and Sons', '2014-01-14 12:17:01', '2014-01-14 12:23:26'), (""Brew've Been Served"", '2014-01-09 19:06:01', '2014-01-09 19:06:23')]"
Axel Calzas,Nils Calixto,2,"[('Roberts and Sons', '2014-01-14 12:15:01', '2014-01-14 12:15:26'), ('Roberts and Sons', '2014-01-18 12:48:01', '2014-01-18 12:48:37')]"
Axel Calzas,Orhan Strum,1,"[('Roberts and Sons', '2014-01-18 12:44:01', '2014-01-18 12:48:37')]"
Axel Calzas,Stenig Fusil,1,"[('Roberts and Sons', '2014-01-14 12:17:01', '2014-01-14 12:23:26')]"
Axel Calzas,Sven Flecha,1,"[(""Brew've Been Served"", '2014-01-10 12:17:01', '2014-01-10 12:17:42')]"
Axel Calzas,Varja Lagos,3,"[(""Katerina's Café"", '2014-01-11 12:47:01', '2014-01-11 12:47:07'), ('Ouzeri Elian', '2014-01-15 11:58:01', '2014-01-15 11:59:05'), ('Roberts and Sons', '2014-01-06 12:20:01', '2014-01-06 12:20:26')]"
Axel Calzas,Vira Frente,3,"[(""Katerina's Café"", '2014-01-11 12:47:01', '2014-01-11 12:51:20'), ('Ouzeri Elian', '2014-01-07 12:05:01', '2014-01-07 12:06:05'), ('Bean There Done That', '2014-01-17 07:40:01', '2014-01-17 07:42:49')]"
Bertrand Ovan,Birgitta Frente,3,"[('Roberts and Sons', '2014-01-08 12:24:01', '2014-01-08 12:30:12'), (""Guy's Gyros"", '2014-01-07 20:43:01', '2014-01-07 20:43:35'), (""Guy's Gyros"", '2014-01-15 17:37:58', '2014-01-15 17:42:39')]"
Bertrand Ovan,Brand Tempestad,3,"[(""Guy's Gyros"", '2014-01-07 17:19:52', '2014-01-07 17:24:33'), (""Guy's Gyros"", '2014-01-08 17:25:38', '2014-01-08 17:27:38'), (""Guy's Gyros"", '2014-01-10 17:15:01', '2014-01-10 17:16:57')]"
Bertrand Ovan,Felix Resumir,2,"[(""Guy's Gyros"", '2014-01-06 17:22:42', '2014-01-06 17:26:16'), (""Guy's Gyros"", '2014-01-07 17:20:01', '2014-01-07 17:24:16')]"
Bertrand Ovan,Hennie Osvaldo,4,"[(""Guy's Gyros"", '2014-01-07 17:23:01', '2014-01-07 17:24:33'), (""Guy's Gyros"", '2014-01-08 17:25:38', '2014-01-08 17:27:39'), (""Guy's Gyros"", '2014-01-12 20:14:27', '2014-01-12 20:16:28'), (""Guy's Gyros"", '2014-01-14 17:36:35', '2014-01-14 17:38:39')]"
Bertrand Ovan,Hideki Cocinaro,1,"[('Roberts and Sons', '2014-01-16 12:25:12', '2014-01-16 12:25:17')]"
Bertrand Ovan,Inga Ferro,1,"[('Ouzeri Elian', '2014-01-12 13:31:01', '2014-01-12 13:31:52')]"
Bertrand Ovan,Isande Borrasca,1,"[(""Guy's Gyros"", '2014-01-19 18:25:16', '2014-01-19 18:25:16')]"
Bertrand Ovan,Kanon Herrero,1,"[(""Guy's Gyros"", '2014-01-16 17:43:01', '2014-01-16 17:44:25')]"
Bertrand Ovan,Kare Orilla,3,"[(""Katerina's Café"", '2014-01-14 18:50:15', '2014-01-14 18:51:21'), ('Roberts and Sons', '2014-01-08 12:21:47', '2014-01-08 12:22:26'), ('Roberts and Sons', '2014-01-16 12:25:12', '2014-01-16 12:28:26')]"
Bertrand Ovan,Lidelse Dedos,3,"[(""Katerina's Café"", '2014-01-07 18:47:29', '2014-01-07 18:49:30'), (""Guy's Gyros"", '2014-01-14 17:41:01', '2014-01-14 17:41:16'), (""Guy's Gyros"", '2014-01-16 17:39:44', '2014-01-16 17:43:39')]"
Bertrand Ovan,Linnea Bergen,5,"[(""Katerina's Café"", '2014-01-15 19:10:51', '2014-01-15 19:12:02'), (""Guy's Gyros"", '2014-01-15 17:41:01', '2014-01-15 17:42:39'), (""Guy's Gyros"", '2014-01-18 15:44:01', '2014-01-18 15:47:33'), ('Coffee Cameleon', '2014-01-10 07:06:01', '2014-01-10 07:06:14'), ('Coffee Cameleon', '2014-01-15 07:31:36', '2014-01-15 07:32:42')]"
Bertrand Ovan,Lucas Alcazar,2,"[(""Katerina's Café"", '2014-01-12 18:43:39', '2014-01-12 18:45:40'), (""Katerina's Café"", '2014-01-16 18:46:33', '2014-01-16 18:47:40')]"
Bertrand Ovan,Marin Onda,1,"[('Ouzeri Elian', '2014-01-12 13:32:01', '2014-01-12 13:32:52')]"
Bertrand Ovan,Minke Mies,1,"[(""Guy's Gyros"", '2014-01-15 17:37:58', '2014-01-15 17:39:38')]"
Bertrand Ovan,Sven Flecha,2,"[(""Guy's Gyros"", '2014-01-10 17:14:01', '2014-01-10 17:16:57'), (""Guy's Gyros"", '2014-01-14 17:36:35', '2014-01-14 17:39:38')]"
Bertrand Ovan,Varja Lagos,3,"[(""Guy's Gyros"", '2014-01-08 17:28:01', '2014-01-08 17:30:19'), (""Guy's Gyros"", '2014-01-09 19:37:01', '2014-01-09 19:37:36'), (""Guy's Gyros"", '2014-01-13 17:14:01', '2014-01-13 17:17:43')]"
Bertrand Ovan,Willem Vasco-Pais,2,"[('General Grocer', '2014-01-07 12:35:01', '2014-01-07 12:36:36'), ('Roberts and Sons', '2014-01-08 12:21:47', '2014-01-08 12:26:17')]"
Birgitta Frente,Adra Nubarron,3,"[(""Guy's Gyros"", '2014-01-07 17:38:01', '2014-01-07 17:41:16'), (""Guy's Gyros"", '2014-01-17 17:48:01', '2014-01-17 17:50:39'), (""Guy's Gyros"", '2014-01-17 20:25:01', '2014-01-17 20:30:03')]"
Birgitta Frente,Bertrand Ovan,3,"[('Roberts and Sons', '2014-01-08 12:24:01', '2014-01-08 12:30:12'), (""Guy's Gyros"", '2014-01-07 20:43:01', '2014-01-07 20:43:35'), (""Guy's Gyros"", '2014-01-15 17:37:58', '2014-01-15 17:42:39')]"
Birgitta Frente,Brand Tempestad,5,"[(""Guy's Gyros"", '2014-01-06 17:32:01', '2014-01-06 17:33:39'), (""Guy's Gyros"", '2014-01-08 17:22:01', '2014-01-08 17:23:39'), (""Guy's Gyros"", '2014-01-10 17:17:01', '2014-01-10 17:20:38'), (""Guy's Gyros"", '2014-01-15 20:08:01', '2014-01-15 20:09:05'), (""Guy's Gyros"", '2014-01-17 17:45:01', '2014-01-17 17:46:38')]"
Birgitta Frente,Edvard Vann,1,"[(""Albert's Fine Clothing"", '2014-01-17 12:13:01', '2014-01-17 12:13:27')]"
Birgitta Frente,Elsa Orilla,2,"[(""Brew've Been Served"", '2014-01-07 12:09:01', '2014-01-07 12:11:42'), ('White Building', '2014-01-10 19:12:01', '2014-01-10 19:12:30')]"
Birgitta Frente,Felix Balas,4,"[('Roberts and Sons', '2014-01-18 18:40:01', '2014-01-18 18:43:09'), (""Brew've Been Served"", '2014-01-07 12:11:01', '2014-01-07 12:11:42'), ('Bean There Done That', '2014-01-13 07:06:01', '2014-01-13 07:09:48'), ('White Building', '2014-01-10 19:03:01', '2014-01-10 19:03:45')]"
Birgitta Frente,Felix Resumir,2,"[(""Guy's Gyros"", '2014-01-13 17:39:01', '2014-01-13 17:40:39'), (""Guy's Gyros"", '2014-01-16 17:25:01', '2014-01-16 17:25:39')]"
Birgitta Frente,Gustav Cazar,2,"[('Ouzeri Elian', '2014-01-10 12:20:01', '2014-01-10 12:20:05'), ('White Building', '2014-01-10 19:11:01', '2014-01-10 19:12:00')]"
Birgitta Frente,Hennie Osvaldo,4,"[('Ouzeri Elian', '2014-01-10 12:18:01', '2014-01-10 12:18:55'), (""Guy's Gyros"", '2014-01-08 17:22:01', '2014-01-08 17:23:39'), (""Guy's Gyros"", '2014-01-09 17:46:01', '2014-01-09 17:47:39'), (""Guy's Gyros"", '2014-01-13 17:35:01', '2014-01-13 17:40:39')]"
Birgitta Frente,Hideki Cocinaro,3,"[('Hallowed Grounds', '2014-01-06 07:11:01', '2014-01-06 07:11:16'), ('Hallowed Grounds', '2014-01-10 07:29:01', '2014-01-10 07:32:46'), ('Hallowed Grounds', '2014-01-16 07:26:01', '2014-01-16 07:27:46')]"
Birgitta Frente,Kanon Herrero,6,"[(""Katerina's Café"", '2014-01-06 12:34:01', '2014-01-06 12:35:23'), (""Guy's Gyros"", '2014-01-10 17:22:01', '2014-01-10 17:22:39'), (""Guy's Gyros"", '2014-01-15 20:07:01', '2014-01-15 20:09:02'), (""Guy's Gyros"", '2014-01-16 20:38:01', '2014-01-16 20:38:05'), (""Guy's Gyros"", '2014-01-17 17:45:01', '2014-01-17 17:46:42'), ('White Building', '2014-01-10 19:03:01', '2014-01-10 19:04:01')]"
Birgitta Frente,Kare Orilla,1,"[('Hallowed Grounds', '2014-01-08 07:20:01', '2014-01-08 07:21:26')]"
Birgitta Frente,Lars Azada,1,"[(""Brew've Been Served"", '2014-01-09 12:20:01', '2014-01-09 12:21:42')]"
Birgitta Frente,Lidelse Dedos,7,"[(""Guy's Gyros"", '2014-01-06 17:32:01', '2014-01-06 17:33:39'), (""Guy's Gyros"", '2014-01-07 17:40:01', '2014-01-07 17:43:39'), (""Guy's Gyros"", '2014-01-14 17:46:01', '2014-01-14 17:46:39'), (""Guy's Gyros"", '2014-01-17 17:45:01', '2014-01-17 17:45:39'), (""Brew've Been Served"", '2014-01-14 12:07:01', '2014-01-14 12:08:42'), ('Bean There Done That', '2014-01-13 07:05:01', '2014-01-13 07:22:06'), ('Hallowed Grounds', '2014-01-14 07:43:01', '2014-01-14 07:44:46')]"
Birgitta Frente,Linnea Bergen,5,"[(""Guy's Gyros"", '2014-01-06 17:30:01', '2014-01-06 17:33:39'), (""Guy's Gyros"", '2014-01-10 22:29:01', '2014-01-10 22:31:01'), (""Guy's Gyros"", '2014-01-15 17:41:01', '2014-01-15 17:42:39'), (""Guy's Gyros"", '2014-01-17 17:45:01', '2014-01-17 17:46:42'), (""Guy's Gyros"", '2014-01-17 20:25:01', '2014-01-17 20:25:02')]"
Birgitta Frente,Loreto Bodrogi,1,"[('General Grocer', '2014-01-11 12:47:01', '2014-01-11 12:48:54')]"
Birgitta Frente,Lucas Alcazar,2,"[('White Building', '2014-01-10 19:03:01', '2014-01-10 19:12:30'), ('Hallowed Grounds', '2014-01-16 07:27:01', '2014-01-16 07:27:46')]"
Birgitta Frente,Marin Onda,1,"[('Hallowed Grounds', '2014-01-16 07:24:01', '2014-01-16 07:26:40')]"
Birgitta Frente,Minke Mies,6,"[(""Guy's Gyros"", '2014-01-06 21:05:01', '2014-01-06 21:08:05'), (""Guy's Gyros"", '2014-01-14 17:46:01', '2014-01-14 17:51:38'), (""Guy's Gyros"", '2014-01-15 17:37:01', '2014-01-15 17:39:38'), (""Guy's Gyros"", '2014-01-16 20:35:01', '2014-01-16 20:37:19'), (""Guy's Gyros"", '2014-01-17 17:45:01', '2014-01-17 17:47:38'), (""Guy's Gyros"", '2014-01-19 20:36:01', '2014-01-19 20:38:03')]"
Birgitta Frente,Nils Calixto,2,"[(""Albert's Fine Clothing"", '2014-01-13 12:15:01', '2014-01-13 12:21:27'), ('White Building', '2014-01-10 19:10:01', '2014-01-10 19:12:30')]"
Birgitta Frente,Stenig Fusil,1,"[(""Albert's Fine Clothing"", '2014-01-17 12:13:01', '2014-01-17 12:14:27')]"
Birgitta Frente,Sven Flecha,4,"[(""Albert's Fine Clothing"", '2014-01-13 12:17:01', '2014-01-13 12:21:27'), (""Guy's Gyros"", '2014-01-07 17:38:01', '2014-01-07 17:39:38'), (""Guy's Gyros"", '2014-01-10 17:17:01', '2014-01-10 17:19:38'), (""Guy's Gyros"", '2014-01-16 17:20:01', '2014-01-16 17:24:38')]"
Birgitta Frente,Varja Lagos,2,"[(""Guy's Gyros"", '2014-01-06 17:30:01', '2014-01-06 17:33:39'), (""Guy's Gyros"", '2014-01-16 17:20:01', '2014-01-16 17:23:16')]"
Birgitta Frente,Vira Frente,2,"[('Bean There Done That', '2014-01-13 07:12:01', '2014-01-13 07:15:49'), ('White Building', '2014-01-10 19:07:01', '2014-01-10 19:08:14')]"
Birgitta Frente,Willem Vasco-Pais,1,"[('Roberts and Sons', '2014-01-08 12:24:01', '2014-01-08 12:26:17')]"
Brand Tempestad,Ada Campo-Corrente,1,"[(""Albert's Fine Clothing"", '2014-01-15 11:57:01', '2014-01-15 11:58:27')]"
Brand Tempestad,Adra Nubarron,5,"[('Roberts and Sons', '2014-01-07 12:19:01', '2014-01-07 12:25:17'), ('Roberts and Sons', '2014-01-13 12:02:01', '2014-01-13 12:02:17'), (""Guy's Gyros"", '2014-01-09 17:39:01', '2014-01-09 17:40:16'), (""Guy's Gyros"", '2014-01-13 20:45:01', '2014-01-13 20:45:58'), (""Guy's Gyros"", '2014-01-16 17:33:01', '2014-01-16 17:35:16')]"
Brand Tempestad,Axel Calzas,1,"[(""Albert's Fine Clothing"", '2014-01-09 12:14:01', '2014-01-09 12:19:27')]"
Brand Tempestad,Bertrand Ovan,3,"[(""Guy's Gyros"", '2014-01-07 17:19:52', '2014-01-07 17:24:33'), (""Guy's Gyros"", '2014-01-08 17:25:38', '2014-01-08 17:27:38'), (""Guy's Gyros"", '2014-01-10 17:15:01', '2014-01-10 17:16:57')]"
Brand Tempestad,Birgitta Frente,5,"[(""Guy's Gyros"", '2014-01-06 17:32:01', '2014-01-06 17:33:39'), (""Guy's Gyros"", '2014-01-08 17:22:01', '2014-01-08 17:23:39'), (""Guy's Gyros"", '2014-01-10 17:17:01', '2014-01-10 17:20:38'), (""Guy's Gyros"", '2014-01-15 20:08:01', '2014-01-15 20:09:05'), (""Guy's Gyros"", '2014-01-17 17:45:01', '2014-01-17 17:46:38')]"
Brand Tempestad,Elsa Orilla,3,"[('Ouzeri Elian', '2014-01-06 11:47:01', '2014-01-06 11:48:05'), ('Roberts and Sons', '2014-01-12 12:32:01', '2014-01-12 12:36:36'), ('Chostus Hotel', '2014-01-17 11:20:01', '2014-01-17 11:22:07')]"
Brand Tempestad,Felix Balas,2,"[(""Albert's Fine Clothing"", '2014-01-09 12:16:01', '2014-01-09 12:23:27'), ('Roberts and Sons', '2014-01-13 12:09:01', '2014-01-13 12:10:17')]"
